Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0,0.1>rho>0.001,Internationality(0.1>rho>0.001,0.99>rho>0.9,Internationality(0.99>rho>0.9,0.9>rho>0.101,Internationality(0.9>rho>0.101,rho>1,Internationality(rho>1
University of East Anglia,37,12,863,175,0.46093694890000003,0.7972190035,192,0.0004341065509687325,0.606201010923867,0.0010524705445705551,0.6062150755443888,0.9000024554871154,0.6267995186236528,0.10109651581242374,0.6084945738347747,14684.769072905881,0.0
University of Canberra,19,2,316,71,0.3229166667,0.7753164557,193,0.00017240042478205986,0.5003707463602682,0.0011010553982392923,0.5004153080715449,0.9000183225435604,0.5442963116168793,0.10132319994715866,0.5052462790011741,38595.10011677437,0.0
University of Duisburg Essen,78,29,1977,360,0.4032655867,0.8179059181,194,0.0005977339835052664,0.5743326197155508,0.0011148806557612079,0.5743511857739316,0.9000334313429095,0.6069861240850936,0.10151440088681463,0.5779662296574929,98662.24313963298,0.0
University of Witwatersrand,63,3,121,17,0.44444444439999997,0.8595041322,194,4.941125209745323e-05,0.6180646318018478,0.0010386245092553203,0.6180978759630545,0.9000785352473806,0.6486075196144384,0.10112299903759925,0.6214700042739623,59768.755438002634,0.0
George Washington University,80,18,2554,847,0.3670486111,0.6683633515999999,198,0.00010157273362665364,0.49530200645414774,0.001190759316466533,0.4953262299123837,0.9000691310628576,0.515478786532837,0.1024065470114207,0.49758208330107023,73609.26011897008,0.0
University of Lausanne,38,11,688,140,0.5781691918999999,0.7965116279000001,198,0.00016420705266684266,0.6786165520156802,0.0010913662448531203,0.6786246245350429,0.9000028414374442,0.6864692432196821,0.1010015234479309,0.6794950392362005,99037.07292613699,0.0
University of St Andrews,36,18,819,136,0.41331307869999995,0.8339438339,198,0.00016471529595829537,0.5871004065399231,0.0011110461322960952,0.587134628400361,0.9000140980532343,0.6200019986428145,0.10119244642697511,0.5907643502602953,14422.491594375617,0.0
University of Peradeniya,3,3,35,4,0.5555555555555555,0.8857142856999999,401-500,0.00010609558820595666,0.7014743982816322,0.001103250401952055,0.7014934202499199,0.9000454565527173,0.7187257292873083,0.10140113570783596,0.7034091840714738,75821.76094605667,0.0
Karabuk University,16,3,160,39,0.4305555555555555,0.75625,401-500,0.0007511652897487084,0.5706373991473127,0.001045317716486055,0.5706440567517875,0.9000415066641075,0.5911361766674906,0.10108253371337694,0.5729124177789326,43894.341205683435,0.0
Suez University,2,0,25,10,0.01,0.6,501-600,0.00017266144071337308,0.0774876972620789,0.0010546891263202712,0.07763104629384726,0.9000579444426631,0.2855312533804024,0.1017639317395338,0.09572451976054816,51983.04161737625,0.0
Keele University,18,13,331,54,0.6855049712192568,0.8368580059999999,501-600,0.0001451486330164009,0.7574108210368413,0.001036466480623624,0.7574141796117277,0.9000089874761823,0.7608046257861415,0.10241534062762914,0.757796275848118,90064.84173723213,0.0
University of Tunku Abdul Rahman,20,8,669,90,0.409375,0.8654708520000001,501-600,0.0003702534864418183,0.5952482769291813,0.0010038804468176787,0.5952747010114892,0.9000181967026194,0.6332392965293938,0.10107586269533186,0.5994617371205911,72894.26684191325,0.0
University of Ibadan,1,0,0,0,0.01,0.0,501-600,0.0003285282224880781,0.0,0.001060071228191406,1.067873762266179e-286,0.9000017271596789,0.00462938040361885,0.10110472874169518,1.0533975931797365e-05,88761.92140625646,0.0
Creighton University,15,1,46,21,0.07396449704142012,0.5434782609000001,601-800,0.0002699314605825176,0.2005215394142646,0.0010782033538373204,0.20060214073718266,0.9000025453940053,0.29844857287297333,0.10103419201144437,0.2108058404385785,90501.09265922352,0.0
University of Sharjah,21,8,192,52,0.7291666666666666,0.7291666667,601-800,0.0005149344933217392,0.7291666666832946,0.0010990186374679467,0.7291666666832889,0.9000541008474098,0.7291666666833332,0.11027135760531945,0.7291666666833326,6939.05842949019,0.0
University of Malaysia Perlis,25,4,238,45,0.3790391156462585,0.8109243697,601-800,0.0008298604056473646,0.554444715938538,0.0011039988985054594,0.5544557055265362,0.9000119170610399,0.5909595206227424,0.10147275737440387,0.558492918915442,68860.63651652596,0.0
King Khalid University,11,4,127,50,0.3333333333333333,0.6062992126,601-800,0.0004987166241330332,0.4495650736627765,0.0010162044189771235,0.4495754811283826,0.9000707113800781,0.46780228595466883,0.10109964297854024,0.45159253598260335,28221.553674815234,0.0
Imam Khomeini International University,8,1,82,13,0.4,0.8414634146,601-800,0.0010993969895858324,0.5802038720619492,0.0010010963080445967,0.5801999291642087,0.9001409623338268,0.6167130620318254,0.10168345165562687,0.5842514527298363,64202.226337845976,0.0
